# {"t_start": 1558153195.241317} 
r,l,t
257.0,257,11.664559
202.0,202,11.731473
133.0,133,11.760528
259.0,259,11.763498
156.0,156,11.844295
144.0,144,11.867329
331.0,331,11.877026
115.0,115,11.927037
292.0,292,11.970898
158.0,158,12.330227
234.0,234,12.375806
200.0,200,12.411177
212.0,212,12.463945
222.0,222,12.490884
175.0,175,12.536886
131.0,131,12.557084
349.0,349,12.62831
112.0,112,12.639949
233.0,233,12.659969
192.0,192,12.67776
140.0,140,13.071819
231.0,231,13.150507
181.0,181,13.151358
177.0,177,13.200987
302.0,302,13.222177
198.0,198,13.3476
347.0,347,13.748814
407.0,407,13.7915
149.0,149,13.856896
419.0,419,13.86952
155.0,155,13.896373
300.0,300,13.899959
173.0,173,14.003456
309.0,309,14.062634
260.0,260,14.064399
360.0,360,14.428231
218.0,218,14.50105
287.0,287,14.637641
316.0,316,14.662618
288.0,288,14.663578
150.0,150,14.796059
159.0,159,14.805173
400.0,400,15.222409
50.0,50,15.25896
367.0,367,15.314907
115.0,115,15.342633
297.0,297,15.401997
200.0,200,15.458941
209.0,209,15.494153
500.0,500,15.544474
274.0,274,15.939415
327.0,327,16.034896
222.0,222,16.041493
470.0,470,16.178016
229.0,229,16.216601
391.0,391,16.235771
314.0,314,16.284705
202.0,202,16.762811
336.0,336,16.828096
221.0,221,16.834515
500.0,500,16.997598
370.0,370,17.437396
478.0,478,17.453339
404.0,404,17.468579
222.0,222,17.499237
235.0,235,17.668291
397.0,397,17.724369
382.0,382,17.729418
444.0,444,18.129517
231.0,231,18.17569
225.0,225,18.227508
258.0,258,18.256815
178.0,178,18.259088
406.0,406,18.809826
313.0,313,18.825213
338.0,338,18.841407
457.0,457,18.899111
160.0,160,18.95738
213.0,213,18.964698
185.0,185,19.100315
406.0,406,19.121526
358.0,358,19.502463
366.0,366,19.567479
208.0,208,19.654151
354.0,354,19.701274
387.0,387,19.745256
307.0,307,19.790136
300.0,300,20.212028
220.0,220,20.24558
500.0,500,20.408093
398.0,398,20.42305
295.0,295,20.429598
269.0,269,20.444191
350.0,350,21.052859
373.0,373,21.055111
397.0,397,21.066931
464.0,464,21.102236
304.0,304,21.28531
321.0,321,21.649873
493.0,493,21.761622
500.0,500,21.812358
408.0,408,21.924255
445.0,445,21.97463
500.0,500,22.471729
273.0,273,22.517977
500.0,500,22.522422
451.0,451,22.59715
278.0,278,23.056908
389.0,389,23.091898
500.0,500,23.225108
500.0,500,23.300842
351.0,351,23.350313
443.0,443,23.383289
319.0,319,23.802968
165.0,165,23.814525
340.0,340,23.893397
215.0,215,23.958776
371.0,371,23.996876
295.0,295,24.028519
261.0,261,24.491765
174.0,174,24.498413
500.0,500,24.600018
413.0,413,24.640398
313.0,313,24.719173
352.0,352,25.193862
500.0,500,25.200465
340.0,340,25.304677
500.0,500,25.341464
261.0,261,25.382778
351.0,351,25.454753
312.0,312,25.872889
269.0,269,25.878852
290.0,290,25.935218
294.0,294,26.085757
400.0,400,26.086622
431.0,431,26.190514
445.0,445,26.597488
321.0,321,26.658322
500.0,500,26.790099
307.0,307,26.820852
500.0,500,26.894633
439.0,439,27.321622
331.0,331,27.404634
408.0,408,27.429019
279.0,279,27.439843
123.0,123,27.51844
205.0,205,27.588809
377.0,377,27.594903
417.0,417,28.046389
357.0,357,28.117348
343.0,343,28.183178
500.0,500,28.294592
381.0,381,28.32634
340.0,340,28.775196
432.0,432,28.776024
317.0,317,28.866062
408.0,408,28.962339
338.0,338,29.019182
402.0,402,29.413161
289.0,289,29.520241
454.0,454,29.54219
266.0,266,29.559369
