# {"t_start": 1558865074.390684} 
r,l,t
17.0,17,3.787271
53.0,53,3.787321
63.0,63,3.79121
16.0,16,3.796235
29.0,29,3.814375
55.0,55,3.816222
42.0,42,3.81684
15.0,15,3.82518
80.0,80,3.834774
32.0,32,3.834835
40.0,40,3.837798
31.0,31,4.063067
48.0,48,4.070746
52.0,52,4.073572
19.0,19,4.075574
12.0,12,4.07883
88.0,88,4.086479
18.0,18,4.087199
30.0,30,4.097992
44.0,44,4.101872
30.0,30,4.105875
37.0,37,4.110926
12.0,12,4.119198
40.0,40,4.128348
29.0,29,4.137937
19.0,19,4.140896
68.0,68,4.142994
20.0,20,4.154002
85.0,85,4.161934
13.0,13,4.17033
78.0,78,4.188469
77.0,77,4.192094
35.0,35,4.192156
67.0,67,4.196398
30.0,30,4.206575
26.0,26,4.211952
21.0,21,4.224344
61.0,61,4.228588
53.0,53,4.237768
24.0,24,4.238387
84.0,84,4.241827
31.0,31,4.247082
27.0,27,4.25436
30.0,30,4.255531
29.0,29,4.258843
28.0,28,4.262665
26.0,26,4.268949
22.0,22,4.274984
16.0,16,4.277724
34.0,34,4.277772
49.0,49,4.282604
40.0,40,4.296519
39.0,39,4.298748
46.0,46,4.307636
25.0,25,4.310377
31.0,31,4.315752
79.0,79,4.320707
31.0,31,4.324849
12.0,12,4.327634
22.0,22,4.328254
11.0,11,4.334428
19.0,19,4.335568
17.0,17,4.337235
57.0,57,4.342132
16.0,16,4.343324
16.0,16,4.34447
20.0,20,4.349225
44.0,44,4.581132
53.0,53,4.585586
65.0,65,4.591908
45.0,45,4.609774
14.0,14,4.619271
48.0,48,4.623329
112.0,112,4.629885
77.0,77,4.635638
30.0,30,4.642604
20.0,20,4.648632
45.0,45,4.648701
37.0,37,4.65377
19.0,19,4.655227
17.0,17,4.660451
16.0,16,4.665067
32.0,32,4.685391
46.0,46,4.68546
57.0,57,4.686149
32.0,32,4.706741
37.0,37,4.71021
85.0,85,4.718282
19.0,19,4.723168
61.0,61,4.728905
30.0,30,4.737835
28.0,28,4.740261
43.0,43,4.740313
12.0,12,4.747468
34.0,34,4.764628
27.0,27,4.767469
20.0,20,4.775684
21.0,21,4.779011
99.0,99,4.790487
23.0,23,4.792165
88.0,88,4.792791
15.0,15,4.798781
45.0,45,4.801009
20.0,20,4.809934
51.0,51,4.820502
20.0,20,4.821155
61.0,61,4.826599
55.0,55,4.831558
20.0,20,4.837521
35.0,35,4.840289
23.0,23,4.844157
21.0,21,4.851783
46.0,46,4.870144
36.0,36,5.08753
23.0,23,5.09957
20.0,20,5.100262
85.0,85,5.10226
119.0,119,5.104226
16.0,16,5.114567
32.0,32,5.134959
79.0,79,5.150971
83.0,83,5.152987
35.0,35,5.157499
95.0,95,5.163218
13.0,13,5.165763
29.0,29,5.169584
13.0,13,5.171536
18.0,18,5.177639
28.0,28,5.189884
14.0,14,5.198817
52.0,52,5.203487
80.0,80,5.204862
21.0,21,5.213318
16.0,16,5.216333
63.0,63,5.219957
24.0,24,5.2317
45.0,45,5.233498
30.0,30,5.238352
25.0,25,5.248688
32.0,32,5.251236
34.0,34,5.259243
78.0,78,5.262265
23.0,23,5.262927
23.0,23,5.265347
23.0,23,5.273132
33.0,33,5.285095
33.0,33,5.292316
52.0,52,5.292917
52.0,52,5.29349
20.0,20,5.296378
21.0,21,5.304512
26.0,26,5.306704
32.0,32,5.313974
45.0,45,5.318543
33.0,33,5.325129
14.0,14,5.326277
65.0,65,5.34034
38.0,38,5.347027
45.0,45,5.349969
80.0,80,5.358086
44.0,44,5.364645
40.0,40,5.368987
31.0,31,5.375193
48.0,48,5.37632
25.0,25,5.383465
38.0,38,5.38622
23.0,23,5.389675
26.0,26,5.604388
30.0,30,5.616137
21.0,21,5.618207
28.0,28,5.618266
18.0,18,5.62788
53.0,53,5.638069
44.0,44,5.646266
60.0,60,5.656298
54.0,54,5.662007
42.0,42,5.664586
24.0,24,5.677438
54.0,54,5.680608
30.0,30,5.683834
47.0,47,5.686446
29.0,29,5.696518
21.0,21,5.709978
42.0,42,5.711315
69.0,69,5.725292
61.0,61,5.726056
28.0,28,5.727903
31.0,31,5.730924
19.0,19,5.737607
25.0,25,5.740645
20.0,20,5.74316
40.0,40,5.774339
50.0,50,5.778189
73.0,73,5.779443
59.0,59,5.780707
29.0,29,5.796754
41.0,41,5.802427
42.0,42,5.805571
59.0,59,5.809584
14.0,14,5.813487
22.0,22,5.81519
43.0,43,5.821354
36.0,36,5.833891
37.0,37,5.842481
58.0,58,5.842539
52.0,52,5.844753
29.0,29,5.850382
30.0,30,5.860331
30.0,30,5.868308
44.0,44,5.870547
58.0,58,5.876129
22.0,22,5.880605
26.0,26,5.885095
50.0,50,5.888561
32.0,32,5.903638
53.0,53,5.906893
36.0,36,5.909664
20.0,20,6.127581
68.0,68,6.129564
23.0,23,6.14231
56.0,56,6.14743
41.0,41,6.155947
20.0,20,6.160562
36.0,36,6.165743
74.0,74,6.165802
45.0,45,6.184865
33.0,33,6.186818
52.0,52,6.199042
72.0,72,6.207302
51.0,51,6.220212
61.0,61,6.225052
40.0,40,6.225784
43.0,43,6.235497
50.0,50,6.257881
55.0,55,6.260396
12.0,12,6.268082
76.0,76,6.26932
78.0,78,6.284761
44.0,44,6.285425
44.0,44,6.294945
61.0,61,6.30626
27.0,27,6.31136
52.0,52,6.316433
19.0,19,6.317576
59.0,59,6.319765
18.0,18,6.327716
51.0,51,6.340082
44.0,44,6.341245
28.0,28,6.355737
27.0,27,6.356359
68.0,68,6.358025
56.0,56,6.359185
15.0,15,6.364389
19.0,19,6.368757
38.0,38,6.378003
39.0,39,6.381564
56.0,56,6.396214
31.0,31,6.398982
15.0,15,6.404664
79.0,79,6.414433
32.0,32,6.417764
74.0,74,6.420728
16.0,16,6.423526
34.0,34,6.424832
25.0,25,6.648463
37.0,37,6.653787
35.0,35,6.660214
47.0,47,6.668794
32.0,32,6.672423
21.0,21,6.677819
44.0,44,6.687269
25.0,25,6.687988
27.0,27,6.692629
23.0,23,6.70842
51.0,51,6.713187
40.0,40,6.716424
19.0,19,6.730241
33.0,33,6.732855
64.0,64,6.73291
12.0,12,6.741783
59.0,59,6.756146
25.0,25,6.759134
33.0,33,6.780628
30.0,30,6.781301
78.0,78,6.785466
75.0,75,6.786167
24.0,24,6.797314
35.0,35,6.808783
20.0,20,6.809465
57.0,57,6.824585
78.0,78,6.833815
43.0,43,6.837891
51.0,51,6.842952
37.0,37,6.847547
52.0,52,6.864397
60.0,60,6.874031
53.0,53,6.875199
64.0,64,6.885833
57.0,57,6.897413
44.0,44,6.898601
33.0,33,6.904171
19.0,19,6.914805
86.0,86,6.923084
47.0,47,6.923706
54.0,54,6.928733
34.0,34,6.934617
25.0,25,6.937951
37.0,37,6.945455
37.0,37,6.950426
27.0,27,6.953197
48.0,48,6.961444
36.0,36,6.965615
36.0,36,7.187417
25.0,25,7.195463
34.0,34,7.197586
35.0,35,7.218746
47.0,47,7.219542
92.0,92,7.222104
53.0,53,7.231637
30.0,30,7.238031
19.0,19,7.250858
52.0,52,7.253548
49.0,49,7.254263
17.0,17,7.264992
27.0,27,7.271783
64.0,64,7.273779
50.0,50,7.297532
36.0,36,7.297603
61.0,61,7.3111
41.0,41,7.322384
47.0,47,7.326048
141.0,141,7.339683
41.0,41,7.35129
62.0,62,7.360387
92.0,92,7.366788
57.0,57,7.37393
41.0,41,7.375153
38.0,38,7.396085
65.0,65,7.396674
49.0,49,7.401172
34.0,34,7.419985
45.0,45,7.421148
105.0,105,7.425059
19.0,19,7.431774
30.0,30,7.436739
24.0,24,7.444963
44.0,44,7.450305
27.0,27,7.452638
102.0,102,7.454324
33.0,33,7.468973
47.0,47,7.472419
37.0,37,7.4736
56.0,56,7.698501
25.0,25,7.70085
52.0,52,7.713579
66.0,66,7.726386
49.0,49,7.730845
31.0,31,7.733464
68.0,68,7.744796
30.0,30,7.74552
38.0,38,7.755381
34.0,34,7.76845
36.0,36,7.769176
57.0,57,7.77118
39.0,39,7.781816
28.0,28,7.787658
29.0,29,7.787721
30.0,30,7.807032
56.0,56,7.807779
48.0,48,7.812911
68.0,68,7.830593
38.0,38,7.831302
42.0,42,7.833138
41.0,41,7.838075
50.0,50,7.861148
66.0,66,7.871985
66.0,66,7.87392
29.0,29,7.890398
94.0,94,7.894371
72.0,72,7.903417
55.0,55,7.903475
31.0,31,7.908066
38.0,38,7.924845
74.0,74,7.935773
64.0,64,7.943544
82.0,82,7.949168
58.0,58,7.95698
33.0,33,7.962079
58.0,58,7.968815
29.0,29,7.973897
55.0,55,7.993144
41.0,41,7.996739
84.0,84,7.996792
58.0,58,8.218022
13.0,13,8.221299
46.0,46,8.242261
54.0,54,8.243613
45.0,45,8.250304
68.0,68,8.261791
41.0,41,8.269605
44.0,44,8.27285
35.0,35,8.29282
57.0,57,8.299929
109.0,109,8.321665
82.0,82,8.326339
52.0,52,8.326406
41.0,41,8.32644
38.0,38,8.351265
34.0,34,8.353176
49.0,49,8.36247
70.0,70,8.377278
43.0,43,8.382151
57.0,57,8.389484
45.0,45,8.393126
52.0,52,8.409211
57.0,57,8.41611
44.0,44,8.418339
56.0,56,8.421856
32.0,32,8.427397
33.0,33,8.440387
45.0,45,8.443862
40.0,40,8.469597
75.0,75,8.472878
57.0,57,8.475652
114.0,114,8.483976
28.0,28,8.492673
49.0,49,8.501608
64.0,64,8.520623
53.0,53,8.522321
95.0,95,8.523997
48.0,48,8.528493
26.0,26,8.755968
45.0,45,8.77341
90.0,90,8.793211
53.0,53,8.807547
26.0,26,8.810121
126.0,126,8.81847
106.0,106,8.824279
28.0,28,8.828314
26.0,26,8.835312
53.0,53,8.841688
23.0,23,8.853492
42.0,42,8.854892
53.0,53,8.86634
39.0,39,8.870826
36.0,36,8.88826
54.0,54,8.888932
75.0,75,8.902107
26.0,26,8.917688
78.0,78,8.919576
50.0,50,8.920253
55.0,55,8.923832
52.0,52,8.949353
59.0,59,8.953729
65.0,65,8.960487
83.0,83,8.965024
28.0,28,8.976121
42.0,42,8.977263
69.0,69,8.987797
31.0,31,8.994564
42.0,42,9.000093
28.0,28,9.004233
91.0,91,9.016564
48.0,48,9.022098
53.0,53,9.029937
37.0,37,9.037399
74.0,74,9.045828
51.0,51,9.050918
40.0,40,9.277071
43.0,43,9.28872
85.0,85,9.297696
63.0,63,9.307429
29.0,29,9.307496
71.0,71,9.323485
30.0,30,9.327535
60.0,60,9.337205
47.0,47,9.338545
29.0,29,9.342502
43.0,43,9.365163
62.0,62,9.367934
40.0,40,9.368654
22.0,22,9.38316
108.0,108,9.40803
65.0,65,9.409303
43.0,43,9.409961
82.0,82,9.41836
28.0,28,9.435956
49.0,49,9.440919
53.0,53,9.443954
88.0,88,9.462379
57.0,57,9.4691
86.0,86,9.489787
50.0,50,9.49039
97.0,97,9.498715
21.0,21,9.51025
42.0,42,9.513763
94.0,94,9.522341
86.0,86,9.539185
31.0,31,9.540364
64.0,64,9.55078
50.0,50,9.568447
93.0,93,9.81857
155.0,155,9.828082
104.0,104,9.840367
80.0,80,9.844995
30.0,30,9.847608
48.0,48,9.876471
49.0,49,9.879995
98.0,98,9.884001
90.0,90,9.899548
40.0,40,9.902798
43.0,43,9.908136
32.0,32,9.920222
79.0,79,9.934855
54.0,54,9.94233
41.0,41,9.946168
24.0,24,9.949883
78.0,78,9.952213
40.0,40,9.970445
49.0,49,9.972323
46.0,46,9.980165
51.0,51,9.980762
46.0,46,10.009329
63.0,63,10.020651
78.0,78,10.021259
39.0,39,10.032756
29.0,29,10.038031
134.0,134,10.051898
57.0,57,10.054292
24.0,24,10.066192
67.0,67,10.07216
33.0,33,10.085001
54.0,54,10.103701
87.0,87,10.105424
60.0,60,10.341831
171.0,171,10.361289
61.0,61,10.364034
33.0,33,10.383835
49.0,49,10.396035
87.0,87,10.399849
28.0,28,10.417702
143.0,143,10.419109
43.0,43,10.423554
43.0,43,10.446584
63.0,63,10.458476
151.0,151,10.479727
95.0,95,10.48337
61.0,61,10.484811
45.0,45,10.486072
40.0,40,10.509959
51.0,51,10.514139
51.0,51,10.515329
71.0,71,10.521946
31.0,31,10.532698
62.0,62,10.545926
35.0,35,10.553915
87.0,87,10.564617
41.0,41,10.569688
92.0,92,10.575293
42.0,42,10.577534
56.0,56,10.602617
83.0,83,10.628129
94.0,94,10.644039
54.0,54,10.645428
125.0,125,10.64936
39.0,39,10.895024
54.0,54,10.905963
83.0,83,10.913737
39.0,39,10.920112
77.0,77,10.924574
27.0,27,10.930976
49.0,49,10.937501
51.0,51,10.952832
47.0,47,10.968051
76.0,76,10.974074
51.0,51,10.986525
38.0,38,10.999217
107.0,107,11.001122
46.0,46,11.015467
33.0,33,11.019109
37.0,37,11.023537
101.0,101,11.031859
49.0,49,11.052588
75.0,75,11.063137
119.0,119,11.085077
52.0,52,11.09294
77.0,77,11.096405
114.0,114,11.097557
48.0,48,11.111752
39.0,39,11.114742
18.0,18,11.124872
55.0,55,11.127072
63.0,63,11.132669
46.0,46,11.137771
65.0,65,11.180616
84.0,84,11.180682
85.0,85,11.4026
109.0,109,11.409991
27.0,27,11.427208
60.0,60,11.4362
62.0,62,11.437583
54.0,54,11.4396
39.0,39,11.453599
32.0,32,11.456842
54.0,54,11.47399
58.0,58,11.474723
35.0,35,11.479126
62.0,62,11.493482
89.0,89,11.531848
99.0,99,11.537193
83.0,83,11.545604
109.0,109,11.548081
47.0,47,11.560077
53.0,53,11.569068
43.0,43,11.571517
31.0,31,11.57864
55.0,55,11.581066
48.0,48,11.599703
68.0,68,11.608371
59.0,59,11.61222
65.0,65,11.617922
46.0,46,11.625254
20.0,20,11.629332
49.0,49,11.651999
74.0,74,11.653126
85.0,85,11.655306
57.0,57,11.660612
39.0,39,11.673967
42.0,42,11.678937
54.0,54,11.683297
56.0,56,11.913218
63.0,63,11.923401
59.0,59,11.926
148.0,148,11.9564
48.0,48,11.956471
58.0,58,11.960322
107.0,107,11.980982
63.0,63,11.99617
67.0,67,12.003002
55.0,55,12.01928
97.0,97,12.021734
57.0,57,12.036781
43.0,43,12.046748
68.0,68,12.063781
112.0,112,12.075691
90.0,90,12.090641
102.0,102,12.107321
80.0,80,12.110839
87.0,87,12.126317
69.0,69,12.145923
81.0,81,12.156033
120.0,120,12.158317
52.0,52,12.175306
25.0,25,12.189028
64.0,64,12.191799
62.0,62,12.192941
133.0,133,12.200085
67.0,67,12.456043
90.0,90,12.458058
86.0,86,12.460054
88.0,88,12.460107
47.0,47,12.488053
50.0,50,12.488123
59.0,59,12.497585
74.0,74,12.507154
59.0,59,12.52576
82.0,82,12.540703
57.0,57,12.561635
129.0,129,12.578296
63.0,63,12.578961
43.0,43,12.587245
134.0,134,12.590336
47.0,47,12.606312
34.0,34,12.626086
68.0,68,12.627471
67.0,67,12.663738
73.0,73,12.665947
135.0,135,12.666547
42.0,42,12.689327
206.0,206,12.694785
62.0,62,12.69986
75.0,75,12.704779
44.0,44,12.716546
54.0,54,12.940262
63.0,63,12.957524
115.0,115,12.986518
51.0,51,12.991605
83.0,83,12.994915
111.0,111,13.000713
48.0,48,13.028543
61.0,61,13.028617
76.0,76,13.043838
97.0,97,13.06539
65.0,65,13.070307
69.0,69,13.072731
60.0,60,13.080985
61.0,61,13.106586
67.0,67,13.120887
99.0,99,13.13102
66.0,66,13.145409
144.0,144,13.150448
62.0,62,13.156564
63.0,63,13.166885
62.0,62,13.184298
71.0,71,13.195396
95.0,95,13.197596
62.0,62,13.218617
100.0,100,13.221954
72.0,72,13.2375
29.0,29,13.238094
81.0,81,13.241023
50.0,50,13.454368
27.0,27,13.464621
31.0,31,13.47419
68.0,68,13.488256
83.0,83,13.497084
55.0,55,13.509065
50.0,50,13.528897
72.0,72,13.534045
139.0,139,13.553716
43.0,43,13.55697
109.0,109,13.579304
44.0,44,13.606685
116.0,116,13.607993
92.0,92,13.611598
54.0,54,13.643063
168.0,168,13.658715
46.0,46,13.669465
116.0,116,13.675028
132.0,132,13.682785
36.0,36,13.702739
79.0,79,13.713324
92.0,92,13.727459
